Episode,AvgProfit,WinRate,Epsilon,Fold%,Call%,Raise%
16400,50.6,57.0,0.5799,1.8,67.5,30.7
16500,-81.4,46.0,0.5780,0.0,70.6,29.4
16600,8.9,52.0,0.5761,0.0,74.8,25.2
16700,75.1,57.0,0.5741,0.9,69.9,29.2
16800,67.3,58.0,0.5722,0.0,72.1,27.9
16900,4.0,53.0,0.5702,0.9,68.1,31.0
17000,-6.7,54.0,0.5682,1.8,74.3,23.9
17100,59.4,51.0,0.5664,0.0,80.0,20.0
17200,162.4,55.0,0.5644,0.0,67.8,32.2
17300,33.6,56.0,0.5626,0.0,76.6,23.4
17400,-18.7,46.0,0.5607,0.9,77.5,21.6
17500,7.2,51.0,0.5589,0.0,77.1,22.9
17600,148.2,62.0,0.5571,0.0,75.9,24.1
17700,28.5,57.0,0.5552,0.9,67.0,32.2
17800,26.1,57.0,0.5533,1.8,66.4,31.9
17900,144.1,66.0,0.5514,0.9,72.6,26.5
18000,26.1,59.0,0.5496,0.0,70.1,29.9
18100,-3.0,58.0,0.5476,2.5,61.0,36.4
18200,127.8,58.0,0.5458,0.9,63.4,35.7
18300,49.0,62.0,0.5439,0.9,68.5,30.6
18400,131.3,54.0,0.5420,0.9,67.2,31.9
18500,121.6,57.0,0.5402,0.9,69.4,29.7
18600,63.8,54.0,0.5384,0.9,69.7,29.4
18700,-6.4,46.0,0.5366,0.9,67.3,31.9
18800,81.7,56.0,0.5349,0.0,78.3,21.7
18900,124.3,50.0,0.5331,0.0,67.9,32.1
19000,92.1,57.0,0.5314,0.0,73.8,26.2
19100,109.6,64.0,0.5296,0.0,67.6,32.4
19200,89.0,55.0,0.5278,0.0,69.0,31.0
19300,48.7,53.0,0.5260,0.0,66.4,33.6
19400,-84.2,45.0,0.5242,0.9,72.1,27.0
19500,-97.1,49.0,0.5225,0.9,72.1,27.0
19600,-28.1,60.0,0.5207,1.8,64.9,33.3
19700,23.4,57.0,0.5190,1.8,67.3,30.9
19800,57.4,50.0,0.5172,1.7,61.3,37.0
19900,113.3,61.0,0.5154,0.0,66.4,33.6
20000,51.8,61.0,0.5138,1.9,74.1,24.1
20100,-65.7,53.0,0.5121,0.0,72.7,27.3
20200,68.9,58.0,0.5104,0.0,67.9,32.1
20300,47.7,56.0,0.5088,1.8,68.8,29.4
20400,-21.8,50.0,0.5071,0.0,80.0,20.0
20500,64.5,57.0,0.5054,0.9,67.0,32.1
20600,58.6,57.0,0.5038,0.9,63.1,36.0
20700,135.4,68.0,0.5021,0.9,68.5,30.6
20800,101.5,54.0,0.5005,0.0,70.6,29.4
20900,87.7,58.0,0.4988,0.9,69.1,30.0
21000,17.4,51.0,0.4972,0.0,78.7,21.3
21100,74.4,54.0,0.4957,0.0,75.0,25.0
21200,176.4,63.0,0.4940,0.0,65.8,34.2
21300,93.3,53.0,0.4923,0.9,59.5,39.7
21400,77.2,55.0,0.4907,0.0,72.3,27.7
21500,252.8,69.0,0.4890,0.0,65.5,34.5
21600,18.1,50.0,0.4874,0.9,72.7,26.4
21700,-52.0,55.0,0.4858,0.9,67.3,31.8
21800,31.6,54.0,0.4842,0.0,63.9,36.1
21900,40.7,56.0,0.4826,0.9,67.9,31.2
22000,107.3,52.0,0.4811,0.9,74.1,25.0
22100,-10.8,57.0,0.4795,0.0,60.7,39.3
22200,87.7,59.0,0.4779,0.0,79.4,20.6
22300,51.0,54.0,0.4763,0.9,69.2,29.9
22400,-10.9,48.0,0.4747,0.0,78.4,21.6
22500,194.8,54.0,0.4731,0.9,58.4,40.7
22600,214.2,59.0,0.4715,0.0,63.6,36.4
22700,106.0,50.0,0.4699,4.2,64.2,31.7
22800,81.5,57.0,0.4682,1.7,64.1,34.2
22900,100.6,57.0,0.4667,0.9,67.3,31.8
23000,11.7,54.0,0.4653,1.0,74.0,25.0
23100,-67.2,48.0,0.4637,1.8,73.9,24.3
23200,62.6,52.0,0.4623,0.0,75.5,24.5
23300,108.5,58.0,0.4608,1.8,61.8,36.4
23400,45.0,51.0,0.4592,0.9,65.5,33.6
23500,61.6,66.0,0.4577,0.0,60.6,39.4
23600,99.4,61.0,0.4562,1.8,64.6,33.6
23700,113.0,54.0,0.4546,1.8,59.6,38.6
23800,56.5,60.0,0.4531,2.7,64.3,33.0
23900,142.8,56.0,0.4516,0.9,65.5,33.6
24000,-68.5,59.0,0.4501,2.7,64.3,33.0
24100,-18.1,50.0,0.4486,0.9,58.8,40.4
